clade_groups,Agriculture,orthology_meta,genome_count
Escovopsis,Coral,OG0000631,6
Escovopsis,Coral,OG0000632,6
Escovopsis,Coral,OG0000633,5
Escovopsis,Coral,OG0000634,6
Escovopsis,Coral,OG0000635,6
Escovopsis,Coral,OG0000636,6
Escovopsis,Coral,OG0000637,6
Escovopsis,Coral,OG0000638,6
Escovopsis,Coral,OG0000639,5
Escovopsis,Coral,OG0000640,6
Escovopsis,Coral,OG0000641,5
Escovopsis,Coral,OG0000642,6
Escovopsis,Coral,OG0000643,6
Escovopsis,Coral,OG0000644,6
Escovopsis,Coral,OG0000645,6
Escovopsis,Coral,OG0000646,5
Escovopsis,Coral,OG0000647,6
Escovopsis,Coral,OG0000648,6
Escovopsis,Coral,OG0000649,6
Escovopsis,Coral,OG0000651,6
Escovopsis,Coral,OG0000652,6
Escovopsis,Coral,OG0000653,6
Escovopsis,Coral,OG0000654,6
Escovopsis,Coral,OG0000655,5
Escovopsis,Coral,OG0000656,6
Escovopsis,Coral,OG0000657,6
Escovopsis,Coral,OG0000658,6
Escovopsis,Coral,OG0000659,6
Escovopsis,Coral,OG0000660,6
Escovopsis,Coral,OG0000662,6
Escovopsis,Coral,OG0000663,6
Escovopsis,Coral,OG0000664,6
Escovopsis,Coral,OG0000665,6
Escovopsis,Coral,OG0000666,6
Escovopsis,Coral,OG0000667,6
Escovopsis,Coral,OG0000668,6
Escovopsis,Coral,OG0000669,6
Escovopsis,Coral,OG0000671,6
Escovopsis,Coral,OG0000672,5
Escovopsis,Coral,OG0000673,5
Escovopsis,Coral,OG0000675,6
Escovopsis,Coral,OG0000676,6
Escovopsis,Coral,OG0000677,6
Escovopsis,Coral,OG0000678,6
Escovopsis,Coral,OG0000679,6
Escovopsis,Coral,OG0000680,6
Escovopsis,Coral,OG0000681,6
Escovopsis,Coral,OG0000682,6
Escovopsis,Coral,OG0000684,6
Escovopsis,Coral,OG0000685,6
Escovopsis,Coral,OG0000686,6
Escovopsis,Coral,OG0000688,6
Escovopsis,Coral,OG0000689,6
Escovopsis,Coral,OG0000690,6
Escovopsis,Coral,OG0000691,6
Escovopsis,Coral,OG0000693,6
Escovopsis,Coral,OG0000694,6
Escovopsis,Coral,OG0000695,6
Escovopsis,Coral,OG0000697,6
Escovopsis,Coral,OG0000698,6
Escovopsis,Coral,OG0000699,6
Escovopsis,Coral,OG0000700,6
Escovopsis,Coral,OG0000702,6
Escovopsis,Coral,OG0000703,6
Escovopsis,Coral,OG0000704,6
Escovopsis,Coral,OG0000705,6
Escovopsis,Coral,OG0000706,6
Escovopsis,Coral,OG0000707,6
Escovopsis,Coral,OG0000708,6
Escovopsis,Coral,OG0000709,5
Escovopsis,Coral,OG0000710,6
Escovopsis,Coral,OG0000711,6
Escovopsis,Coral,OG0000712,6
Escovopsis,Coral,OG0000713,6
Escovopsis,Coral,OG0000714,6
Escovopsis,Coral,OG0000717,6
Escovopsis,Coral,OG0000718,6
Escovopsis,Coral,OG0000719,6
Escovopsis,Coral,OG0000720,6
Escovopsis,Coral,OG0000721,6
Escovopsis,Coral,OG0000722,6
Escovopsis,Coral,OG0000725,6
Escovopsis,Coral,OG0000726,5
Escovopsis,Coral,OG0000727,6
Escovopsis,Coral,OG0000728,6
Escovopsis,Coral,OG0000729,6
Escovopsis,Coral,OG0000730,6
Escovopsis,Coral,OG0000731,6
Escovopsis,Coral,OG0000732,6
Escovopsis,Coral,OG0000733,6
Escovopsis,Coral,OG0000735,6
Escovopsis,Coral,OG0000736,6
Escovopsis,Coral,OG0000737,6
Escovopsis,Coral,OG0000738,6
Escovopsis,Coral,OG0000739,6
Escovopsis,Coral,OG0000740,6
Escovopsis,Coral,OG0000741,5
Escovopsis,Coral,OG0000742,6
Escovopsis,Coral,OG0000743,6
Escovopsis,Coral,OG0000744,6
Escovopsis,Coral,OG0000746,6
Escovopsis,Coral,OG0000747,6
Escovopsis,Coral,OG0000748,6
Escovopsis,Coral,OG0000749,6
Escovopsis,Coral,OG0000750,6
Escovopsis,Coral,OG0000752,6
Escovopsis,Coral,OG0000753,6
Escovopsis,Coral,OG0000754,6
Escovopsis,Coral,OG0000755,6
Escovopsis,Coral,OG0000756,6
Escovopsis,Coral,OG0000757,6
Escovopsis,Coral,OG0000758,6
Escovopsis,Coral,OG0000759,6
Escovopsis,Coral,OG0000760,6
Escovopsis,Coral,OG0000761,6
Escovopsis,Coral,OG0000762,6
Escovopsis,Coral,OG0000763,6
Escovopsis,Coral,OG0000764,6
Escovopsis,Coral,OG0000765,6
Escovopsis,Coral,OG0000766,6
Escovopsis,Coral,OG0000767,6
Escovopsis,Coral,OG0000768,6
Escovopsis,Coral,OG0000770,6
Escovopsis,Coral,OG0000772,6
Escovopsis,Coral,OG0000773,6
Escovopsis,Coral,OG0000774,6
Escovopsis,Coral,OG0000775,6
Escovopsis,Coral,OG0000776,6
Escovopsis,Coral,OG0000777,6
Escovopsis,Coral,OG0000778,6
Escovopsis,Coral,OG0000779,6
Escovopsis,Coral,OG0000780,6
Escovopsis,Coral,OG0000781,6
Escovopsis,Coral,OG0000782,6
Escovopsis,Coral,OG0000783,6
Escovopsis,Coral,OG0000784,6
Escovopsis,Coral,OG0000785,6
Escovopsis,Coral,OG0000786,6
Escovopsis,Coral,OG0000787,6
Escovopsis,Coral,OG0000788,6
Escovopsis,Coral,OG0000790,6
Escovopsis,Coral,OG0000791,6
Escovopsis,Coral,OG0000792,6
Escovopsis,Coral,OG0000793,6
Escovopsis,Coral,OG0000794,6
Escovopsis,Coral,OG0000795,6
Escovopsis,Coral,OG0000796,6
Escovopsis,Coral,OG0000797,6
Escovopsis,Coral,OG0000798,6
Escovopsis,Coral,OG0000799,6
Escovopsis,Coral,OG0000800,6
Escovopsis,Coral,OG0000801,6
Escovopsis,Coral,OG0000802,6
Escovopsis,Coral,OG0000803,6
Escovopsis,Coral,OG0000804,6
Escovopsis,Coral,OG0000805,6
