Orthogroup,group,group_n,NMDS1,NMDS2,NMDS3,NMDS4,BGC,Resistance,CAZyme,Lipase,Peptidase,Signaling,Virulence
OG0004740,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.9031996256027391,0.6315791614326096,0.052871735651639634,0.019275539835355227,0,0,0,0,0,1,0
OG0004770,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.36578508932776554,-0.7700468101807714,-0.8822521212521606,0.2143904335561879,0,0,0,1,0,0,0
OG0004784,"AllOutgroup,Coral,Higher,Lower",6,-0.41556128930368275,-0.4795030674274845,0.8750470970719247,0.25819135516894254,0,0,1,0,0,0,1
OG0004790,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271521987292653,0.27712052003306015,-0.06678704782066582,0.035863495517956985,1,0,0,0,0,0,0
OG0004798,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271552795310392,0.2771180587800635,-0.06677677290342927,0.03590389043304882,1,0,0,0,0,0,0
OG0004801,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.11754274767826554,0.012276155090293428,-0.38041348183568974,-1.2552138505457633,0,0,0,0,1,0,0
OG0004814,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.9031996270250627,0.6315791520020503,0.05287174659056919,0.019275495685495404,0,0,0,0,0,1,0
OG0004838,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.9031996189911822,0.6315791197215082,0.052871731723321075,0.019275234592477642,0,0,0,0,0,1,0
OG0004839,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.7705719688952266,0.35619502816959847,0.3487791037256651,0.4505810355465806,0,0,1,0,0,1,0
OG0004882,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.7291364810671537,-0.05069298160335556,-0.4903593528150055,0.1103524004625949,0,0,0,1,0,1,0
OG0004883,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.903199608694953,0.6315784647924029,0.05287204920740357,0.019271238989446035,0,0,0,0,0,1,0
OG0004886,"AllOutgroup,Coral,Higher,Leafcutter",5,0.08735810834714834,-0.9250168675363607,0.6209434038661461,0.19967766312996857,0,1,0,0,0,0,1
OG0004888,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.7291364811877542,-0.050692981372964255,-0.49035935471646747,0.11035239206440896,0,0,0,1,0,1,0
OG0004904,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.14890261767497298,-0.8253510408669121,0.8689031770480086,-0.30610708650416457,0,0,0,0,0,0,1
OG0004908,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.30844630486207336,-0.9167108408111823,-0.03243287281087624,-0.10658546584515481,0,0,0,1,0,0,1
OG0004931,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271481293119057,0.27712378780608093,-0.06680058260987641,0.03581012830391351,1,0,0,0,0,0,0
OG0004932,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.3658739677829316,-0.7695129021508058,-0.8840282254837997,0.20968591105464432,0,0,0,1,0,0,0
OG0004974,"AllOutgroup,Higher,Leafcutter",7,-0.36589573306301015,-0.7694433025469394,-0.8842508354643136,0.2090831637124061,0,0,0,1,0,0,0
OG0004992,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.29275959527157547,-0.4572540897816339,-0.7262246004513744,-0.5912007776787881,0,0,0,1,1,0,0
OG0004993,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.2987127209539827,-0.7098813151590002,-0.1371709863240735,-0.5343386536412627,0,0,0,1,1,0,1
OG0004995,"AllOutgroup,Higher,Leafcutter,Lower",1,0.4665718849240018,0.19384464845685048,-0.20788828289905137,-0.5690965069287016,1,0,0,0,1,0,0
OG0004999,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.14884493846865432,-0.825381096855171,0.8687651663942952,-0.3066496680887418,0,0,0,0,0,0,1
OG0005005,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.4541019595862647,-0.13879902590135357,0.7026624145258137,0.9427388692056171,0,0,1,0,0,0,0
OG0005014,"AllOutgroup,Coral,Higher,Leafcutter",5,0.3040313335314142,-0.8352905215799445,0.1270848626736085,0.9231210137280212,0,1,0,0,0,0,0
OG0005015,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.29871272196544013,-0.709881314991871,-0.13717098624329938,-0.5343386536425501,0,0,0,1,1,0,1
OG0005016,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.3084462926333624,-0.9167108401450971,-0.03243288528117419,-0.10658550418531708,0,0,0,1,0,0,1
OG0005017,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271590872257562,0.2771150250430448,-0.0667640484905953,0.035953826948884465,1,0,0,0,0,0,0
OG0005019,"AllOutgroup,Coral,Higher,Lower",6,-0.365784493639666,-0.7700361222944501,-0.8822843048117226,0.21431173274201779,0,0,0,1,0,0,0
OG0005020,"AllOutgroup,Coral,Higher,Leafcutter",5,0.29946531264021287,-0.8344642930566979,0.11878433969428889,0.9239948111527543,0,1,0,0,0,0,0
OG0005021,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.1464618984003727,0.09731798094052113,0.48858876474306584,0.09603034045345102,1,0,1,0,0,1,1
OG0005029,"AllOutgroup,Coral,Leafcutter,Lower",10,0.8271431121257,0.27712830852916914,-0.06681672822128677,0.03574454930738471,1,0,0,0,0,0,0
OG0005030,"AllOutgroup,Coral,Leafcutter,Lower",10,-0.9031996119604495,0.6315788584495468,0.0528718465223062,0.019273615674446444,0,0,0,0,0,1,0
OG0005038,"AllOutgroup,Higher,Leafcutter,Lower",1,0.4200474155339789,-0.2592717880352339,0.4582309979498656,-0.21350422679152437,1,0,0,0,0,0,1
OG0005040,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.7387839430163623,-0.11371686191786765,-0.1762791008099568,0.39440734539650285,0,0,1,1,0,1,0
OG0005044,"AllOutgroup,Coral,Leafcutter,Lower",10,0.4665718849188415,0.19384464846765517,-0.20788828287594366,-0.5690965069432412,1,0,0,0,1,0,0
